companyName,country,city,Year_,Month_,TotalQuantity,TotalRevenue,TotalFreightCosts,TotalNetRevenue
"Vins et alcools Chevalier",France,Reims,2013,7,27,440,97.14000000000001,342.86
"Toms Spezialitäten",Germany,Münster,2013,7,49,1863.4,23.22,1840.18
"Hanari Carnes",Brazil,"Rio de Janeiro",2013,7,162,3257.8,372.00000000000006,2885.8
"Victuailles en stock",France,Lyon,2013,7,41,670.8,124.02000000000001,546.78
"Suprêmes délices",Belgium,Charleroi,2013,7,105,3730,153.89999999999998,3576.1
"Chop-suey Chinese",Switzerland,Bern,2013,7,57,625.2,68.94,556.26
"Richter Supermarkt",Switzerland,Genève,2013,7,110,2490.5,593.32,1897.1799999999998
"Wellington Importadora",Brazil,Resende,2013,7,27,517.8,27.94,489.85999999999996
HILARION-Abastos,Venezuela,"San Cristóbal",2013,7,46,1119.9,245.73,874.1700000000001
"Ernst Handel",Austria,Graz,2013,7,305,4483.4,1005.7699999999998,3477.63
"Centro comercial Moctezuma",Mexico,"Mexico City",2013,7,11,100.8,6.5,94.3
"Ottilies Käseladen",Germany,Köln,2013,7,102,1746.2,220.36,1525.8400000000001
"Que Delícia",Brazil,"Rio de Janeiro",2013,7,40,448,6.1,441.9
"Rattlesnake Canyon Grocery",USA,Albuquerque,2013,7,29,624.8,144.87,479.92999999999995
"Folk och fä HB",Sweden,Bräcke,2013,7,60,724.5,7.34,717.16
"Blondesddsl père et fils",France,Strasbourg,2013,7,50,1176,110.56,1065.44
"Wartian Herkku",Finland,Oulu,2013,7,12,364.79999999999995,25.73,339.06999999999994
Frankenversand,Germany,München,2013,7,135,4031,625.74,3405.26
GROSELLA-Restaurante,Venezuela,Caracas,2013,7,14,1101.2,132.58,968.62
"White Clover Markets",USA,Seattle,2013,7,80,676,9.12,666.88
"Wartian Herkku",Finland,Oulu,2013,8,55,1376,273.08,1102.92
"Split Rail Beer & Ale",USA,Lander,2013,8,24,48,4.54,43.46
"Rattlesnake Canyon Grocery",USA,Albuquerque,2013,8,145,3343.5999999999995,1030.3899999999999,2313.2099999999996
QUICK-Stop,Germany,Cunewalde,2013,8,413,7337.6,1069.3200000000002,6268.280000000001
"Vins et alcools Chevalier",France,Reims,2013,8,27,538.6,12.02,526.58
"Magazzini Alimentari Riuniti",Italy,Bergamo,2013,8,18,307.2,53.86,253.33999999999997
"Tortuga Restaurante",Mexico,"Mexico City",2013,8,58,1268.7,112.4,1156.3
"Morgenstern Gesundkost",Germany,Leipzig,2013,8,32,1200.8,251.54,949.26
"Berglunds snabbköp",Sweden,Luleå,2013,8,126,2102,397.70000000000005,1704.3
"Lehmanns Marktstand",Germany,"Frankfurt a.M.",2013,8,76,1920,332.07,1587.93
"Romero y tomillo",Spain,Madrid,2013,8,19,241.89999999999998,34.199999999999996,207.7
LILA-Supermercado,Venezuela,Barquisimeto,2013,8,76,1414.8000000000002,339.24,1075.5600000000002
"Ricardo Adocicados",Brazil,"Rio de Janeiro",2013,8,75,924,38.28,885.72
"Reggiani Caseifici",Italy,"Reggio Emilia",2013,8,13,89,14.9,74.1
"B's Beverages",UK,London,2013,8,39,479.4,45.54,433.85999999999996
"Comércio Mineiro",Brazil,"Sao Paulo",2013,8,60,2169,318.8,1850.2
"Que Delícia",Brazil,"Rio de Janeiro",2013,8,46,552.8,19.200000000000003,533.5999999999999
"Tradição Hipermercados",Brazil,"Sao Paulo",2013,8,20,1296,1.35,1294.65
"Vins et alcools Chevalier",France,Reims,2013,9,4,121.6,1.15,120.44999999999999
LILA-Supermercado,Venezuela,Barquisimeto,2013,9,57,1050.6,0.36,1050.24
"Blondesddsl père et fils",France,Strasbourg,2013,9,80,1420,11.48,1408.52
"Hungry Owl All-Night Grocers",Ireland,Cork,2013,9,200,4889,909.3799999999998,3979.6200000000003
"Ricardo Adocicados",Brazil,"Rio de Janeiro",2013,9,35,349.5,59.52,289.98
"Magazzini Alimentari Riuniti",Italy,Bergamo,2013,9,50,608,35.36,572.64
"Die Wandernde Kuh",Germany,Stuttgart,2013,9,88,2369.8,251.19999999999996,2118.6000000000004
"Suprêmes délices",Belgium,Charleroi,2013,9,80,2708.7999999999997,18.81,2689.99
"Godos Cocina Típica",Spain,Sevilla,2013,9,85,1242,323.49,918.51
"Tortuga Restaurante",Mexico,"Mexico City",2013,9,42,954.4,191.37,763.03
"Old World Delicatessen",USA,Anchorage,2013,9,80,4157,772.86,3384.14
"Romero y tomillo",Spain,Madrid,2013,9,25,498.5,22.68,475.82
"Lonesome Pine Restaurant",USA,Portland,2013,9,33,712,13.809999999999999,698.19
"Ana Trujillo Emparedados y helados",Mexico,"Mexico City",2013,9,6,88.8,3.22,85.58
"The Big Cheese",USA,Portland,2013,9,15,336,35.04,300.96
"Du monde entier",France,Nantes,2013,9,13,268.79999999999995,49.38,219.41999999999996
QUICK-Stop,Germany,Cunewalde,2013,9,12,182.39999999999998,1.96,180.43999999999997
"Rattlesnake Canyon Grocery",USA,Albuquerque,2013,9,175,5162,522.78,4639.22
"Island Trading",UK,Cowes,2013,9,44,516.8,83.52,433.28
"Island Trading",UK,Cowes,2013,10,36,384.4,12.89,371.51
"Tortuga Restaurante",Mexico,"Mexico City",2013,10,52,1191.1999999999998,193.5,997.6999999999998
"Wartian Herkku",Finland,Oulu,2013,10,90,1470,36.34000000000001,1433.66
"Pericles Comidas clásicas",Mexico,"Mexico City",2013,10,20,112,0.4,111.6
"Königlich Essen",Germany,Brandenburg,2013,10,84,1661.4,338.94000000000005,1322.46
"Save-a-lot Markets",USA,Boise,2013,10,241,6155.9,1071.3500000000001,5084.549999999999
"Bólido Comidas preparadas",Spain,Madrid,2013,10,90,982,233.76,748.24
"Folk och fä HB",Sweden,Bräcke,2013,10,140,2262.5,253.44,2009.06
"Furia Bacalhau e Frutos do Mar",Portugal,Lisboa,2013,10,59,1168,261.09000000000003,906.91
"Split Rail Beer & Ale",USA,Lander,2013,10,50,4819.400000000001,766.68,4052.7200000000007
LILA-Supermercado,Venezuela,Barquisimeto,2013,10,75,1940,25.5,1914.5
"Bon app'",France,Marseille,2013,10,87,2652.9,509.12,2143.78
"Mère Paillarde",Canada,Montréal,2013,10,174,5696.8,205.5,5491.3
