id,account_id,occurred_at,channel
1,1001,10.6.2015,direct
2,1001,11.5.2015,direct
3,1001,12.4.2015,direct
4,1001,1.2.2016,direct
5,1001,2.1.2016,direct
6,1001,3.2.2016,direct
7,1001,4.1.2016,direct
8,1001,5.1.2016,direct
9,1001,5.31.2016,direct
10,1001,6.30.2016,direct
11,1001,7.30.2016,direct
12,1001,8.28.2016,direct
13,1001,9.26.2016,direct
14,1001,10.26.2016,direct
15,1001,11.25.2016,direct
16,1001,12.24.2016,direct
17,1011,12.21.2016,direct
18,1021,10.12.2015,direct
19,1021,11.11.2015,direct
20,1021,12.11.2015,direct
21,1021,1.10.2016,direct
22,1021,2.9.2016,direct
23,1021,3.10.2016,direct
24,1031,12.25.2016,direct
25,1041,10.14.2016,direct
26,1041,11.13.2016,direct
27,1041,12.12.2016,direct
28,1051,8.2.2016,direct
29,1051,9.1.2016,direct
30,1051,10.1.2016,direct
31,1051,10.31.2016,direct
32,1051,11.30.2016,direct
33,1051,12.30.2016,direct
34,1061,10.19.2016,direct
35,1061,11.17.2016,direct
36,1061,12.16.2016,direct
37,1071,12.13.2016,direct
38,1081,2.12.2015,direct
39,1081,3.13.2015,direct
40,1081,4.12.2015,direct
41,1081,5.12.2015,direct
42,1081,6.11.2015,direct
43,1081,7.11.2015,direct
44,1081,8.9.2015,direct
45,1081,9.7.2015,direct
46,1081,10.7.2015,direct
47,1081,11.6.2015,direct
48,1081,12.5.2015,direct
49,1081,1.3.2016,direct
50,1081,2.1.2016,direct
51,1081,3.2.2016,direct
52,1081,4.1.2016,direct
53,1081,4.30.2016,direct
54,1081,5.30.2016,direct
55,1081,6.28.2016,direct
56,1081,7.28.2016,direct
57,1081,8.26.2016,direct
58,1081,9.24.2016,direct
59,1081,10.24.2016,direct
60,1081,11.23.2016,direct
61,1081,12.23.2016,direct
62,1091,8.15.2014,direct
63,1091,9.13.2014,direct
64,1091,10.13.2014,direct
65,1091,11.12.2014,direct
66,1091,12.11.2014,direct
67,1091,1.9.2015,direct
68,1091,2.8.2015,direct
69,1091,3.9.2015,direct
70,1091,4.7.2015,direct
71,1091,5.6.2015,direct
72,1091,6.5.2015,direct
73,1091,7.5.2015,direct
74,1091,8.3.2015,direct
75,1091,9.1.2015,direct
