expense_id,route_id,date,type,amount_eur,description
1,11500,2023-03-20,Maintenance,70.87,He rock include improve.
2,11500,2023-03-20,Toll,384.76,Well yeah body glass.
3,11500,2023-03-20,Other,363.18,Good player others far too.
4,11500,2023-03-17,Maintenance,143.31,Peace blue fight force trouble something.
5,6476,2023-07-16,Other,230.4,Just time outside level responsibility opportunity.
6,6476,2023-07-19,Other,289.02,Or herself dream.
7,13168,2023-10-14,Fuel,112.98,Draw bar side.
8,863,2024-05-16,Fuel,411.75,Value TV food.
9,5971,2023-12-24,Maintenance,379.06,Environment level already.
10,6707,2024-07-05,Maintenance,447.87,Without yourself so loss.
11,3018,2023-07-15,Fine,431.62,Able fire personal.
12,3018,2023-07-14,Toll,314.44,Kind design increase.
13,3018,2023-07-17,Fuel,430.28,Fine choice concern if culture.
14,3782,2023-04-07,Fine,331.07,Dark performance man form simple.
15,3899,2024-01-22,Fuel,104.75,Each mission along.
16,3899,2024-01-24,Fuel,60.69,Star rate year.
17,2251,2023-12-03,Maintenance,114.36,Year newspaper will represent.
18,2251,2023-12-05,Fine,403.81,Section window say.
19,2251,2023-12-02,Toll,168.32,Fall financial doctor.
20,2251,2023-12-06,Toll,35.27,Population everything provide.
21,543,2024-02-01,Maintenance,167.15,Push apply however cost get image.
22,543,2024-02-03,Maintenance,26.03,Against people degree court.
23,543,2024-01-30,Other,62.46,Soon wide agreement.
24,4352,2023-07-26,Maintenance,399.64,Spend gas threat individual will.
25,4352,2023-07-28,Fine,351.4,Wish tough carry type their together.
26,4352,2023-07-28,Other,335.03,Stock maybe boy as court.
27,4352,2023-07-27,Other,124.46,Cause discuss chair.
28,12808,2023-05-29,Other,452.52,Site process check marriage raise.
29,6632,2023-03-02,Toll,231.62,Per buy finish.
30,6706,2023-02-01,Toll,388.72,Chance generation suggest theory would than.
31,6979,2023-07-05,Fuel,439.36,But improve note believe each participant.
32,6979,2023-07-03,Fine,291.87,Carry light score test all.
33,7400,2024-01-28,Toll,476.48,Floor scientist decision staff really particularly.
34,7400,2024-01-29,Toll,322.8,Maybe other finish kid.
35,11120,2023-09-03,Other,492.5,International probably between before.
36,12666,2024-10-03,Fuel,275.32,Court region them war institution hotel.
37,5305,2024-09-10,Maintenance,264.65,Home beat TV.
38,2313,2023-07-03,Fuel,342.08,Deal wish people question.
39,2313,2023-07-06,Fine,420.32,Public reality democratic way.
40,7041,2023-12-16,Maintenance,454.83,Do prevent top.
41,1890,2024-06-06,Fine,89.5,Red choice finally.
42,1890,2024-06-07,Maintenance,254.85,Door lay much management.
43,8992,2023-07-26,Fuel,106.7,During contain know apply exactly center.
44,170,2024-09-29,Toll,409.32,Agree bag establish.
45,170,2024-09-30,Other,346.24,Next agent on source.
46,170,2024-10-02,Toll,453.49,Stage a it goal manage.
47,170,2024-10-02,Maintenance,180.74,Moment sound body.
48,1796,2024-12-14,Fine,358.7,Population help appear perform.
49,3976,2023-04-29,Fuel,447.51,Century against whose.
50,3976,2023-04-29,Other,176.13,Best game follow.
51,3976,2023-04-26,Other,158.44,Brother everything including number society artist.
52,3976,2023-04-30,Other,72.78,Manage my get seek.
53,6821,2023-06-10,Fine,499.81,Free sign hold they.
54,6821,2023-06-08,Maintenance,58.67,Source song hour student.
55,7827,2023-09-17,Toll,351.98,Do company several list.
56,11810,2023-07-16,Toll,389.69,Them agreement through thus.
57,11810,2023-07-16,Other,62.13,Computer writer enter catch.
58,1040,2024-12-20,Fuel,49.32,Young Democrat gun purpose.
59,2849,2024-03-04,Maintenance,490.75,Language network do professor happy wonder.
60,2849,2024-03-06,Maintenance,440.57,Fire member bank growth.
61,3372,2024-07-14,Other,289.74,Fight give member just ten.
62,8830,2023-03-21,Maintenance,405.02,Family staff law Mr.
63,8830,2023-03-23,Toll,63.19,Turn population consider seek write.
64,8830,2023-03-22,Other,239.04,Gun cultural nor myself now.
65,8830,2023-03-23,Toll,432.6,His remain all shoulder claim.
66,10350,2024-06-28,Other,345.61,Author join foot group stock environment.
67,10350,2024-06-25,Toll,429.11,Establish floor full rule move.
68,10350,2024-06-24,Fine,125.4,Law oil meet option yeah.
69,8798,2023-02-04,Toll,255.5,They environmental take concern pass stay.
70,8798,2023-02-04,Toll,80.52,Enjoy Republican field.
71,765,2023-10-25,Fuel,338.14,Eye debate sign common.
72,765,2023-10-24,Fine,335.05,Activity interview behavior industry dog late.
73,1594,2023-12-18,Maintenance,155.48,Just those of glass.
74,1594,2023-12-19,Other,70.58,Name eat major try.
75,1594,2023-12-20,Other,99.25,Stay a various.
76,1594,2023-12-21,Fuel,121.74,Others common both point.
77,14233,2023-07-13,Maintenance,445.66,Even next scientist.
78,5873,2024-07-07,Maintenance,240.07,Though mission east hour leave.
79,5873,2024-07-08,Fine,144.42,Collection above material.
80,5873,2024-07-10,Fine,398.96,Somebody future medical.
81,5873,2024-07-09,Other,203.6,Pretty and relationship.
82,9941,2024-12-25,Maintenance,320.52,Against somebody economic store.
83,9941,2024-12-24,Toll,153.52,Cell everybody turn.
84,9941,2024-12-26,Toll,34.76,Also opportunity stay middle.
85,9941,2024-12-23,Maintenance,61.91,Generation across range left.
86,5170,2023-12-07,Maintenance,396.34,Military standard conference strong difficult.
87,5170,2023-12-09,Other,144.22,Exactly economic guess.
88,5170,2023-12-09,Other,209.95,Them baby no camera rate.
89,10910,2023-06-22,Toll,237.42,Through matter condition through we.
90,4123,2023-03-11,Toll,325.92,Six arm could.
91,4123,2023-03-14,Fuel,267.02,Agent condition tree available alone.
92,4123,2023-03-11,Maintenance,401.54,Month student information special throughout rate.
93,4123,2023-03-11,Maintenance,394.48,Man our pattern she street research.
94,12949,2023-10-28,Fine,342.59,Coach increase style.
95,12949,2023-10-29,Fine,114.02,Direction son however.
96,12949,2023-10-30,Toll,26.79,Water push strategy speak.
97,14483,2023-04-20,Fine,74.0,Bar marriage reduce third child event.
98,14483,2023-04-21,Toll,35.3,Break hand measure east.
99,14483,2023-04-20,Maintenance,250.04,Evening return scene easy.
100,14483,2023-04-18,Other,355.9,Public else outside figure education.
101,150,2023-07-26,Fine,358.39,Baby standard never.
102,150,2023-07-27,Fuel,336.56,Develop should stock learn final.
103,150,2023-07-25,Fuel,217.88,Sing actually man physical.
104,150,2023-07-24,Fine,78.37,Generation study result course.
105,11737,2024-09-23,Fuel,315.04,Dinner reason say vote.
106,11737,2024-09-21,Other,340.41,Also decade about above week bar.
107,11737,2024-09-22,Maintenance,116.2,Work truth better.
108,388,2024-07-12,Other,194.75,Today yes four behind occur learn.
109,388,2024-07-13,Fine,267.21,Item increase level.
110,3947,2023-11-15,Maintenance,281.75,Time baby war.
111,13403,2023-09-02,Other,388.63,See well begin.
112,13403,2023-08-30,Fuel,161.85,Military line call site catch.
113,13403,2023-09-03,Toll,449.03,Car country bit.
114,13403,2023-08-30,Toll,107.15,Enough fire herself treat world whether.
115,1374,2024-06-10,Other,350.81,Century happen measure consider.
116,2885,2023-03-30,Maintenance,70.08,Final level really reflect talk.
117,2885,2023-03-31,Maintenance,57.11,Public smile trouble.
118,2885,2023-03-30,Toll,396.19,Fear break player.
119,14043,2024-02-15,Maintenance,144.25,Prepare stage change record page available.
120,14043,2024-02-17,Maintenance,54.53,Attention edge never central meeting air.
121,11361,2024-10-15,Toll,455.82,White anyone myself happy future.
122,2992,2024-05-24,Fuel,59.01,Decision job rule mouth.
123,2992,2024-05-25,Fine,285.14,Probably here include recent born air.
124,2992,2024-05-23,Toll,155.66,Buy claim fall.
125,2992,2024-05-24,Toll,28.79,Party join discussion maintain research price.
126,11596,2023-12-15,Fine,123.97,Experience defense set probably.
127,11596,2023-12-19,Fuel,84.81,Challenge mind perform test fund unit.
128,10582,2023-07-25,Fine,264.49,Deal expect because when.
129,10582,2023-07-28,Toll,91.34,Skin message computer magazine grow.
130,14868,2024-10-25,Fuel,471.56,Enough soldier base.
131,14868,2024-10-25,Fuel,312.25,Soon term gas.
132,14425,2024-02-26,Fine,492.57,True certainly war far.
133,3025,2023-02-06,Toll,51.48,Not mention have.
134,3025,2023-02-07,Fine,418.77,Still executive free region third.
135,3025,2023-02-07,Fuel,203.77,Off concern none lot what particular.
136,252,2023-10-17,Toll,402.41,Such case century she energy.
137,252,2023-10-16,Toll,318.42,Ground sense easy together group.
138,252,2023-10-18,Maintenance,103.19,President so fund.
139,12147,2024-07-13,Fuel,261.48,Figure without far.
140,12147,2024-07-16,Other,59.2,Start week room center ability owner inside.
141,12147,2024-07-15,Toll,462.29,Letter threat yourself science four.
142,11439,2024-03-10,Toll,411.99,Education bag pretty seven.
143,11439,2024-03-11,Toll,454.82,One news husband indicate edge.
144,11439,2024-03-09,Other,341.3,Attack send information huge probably step.
145,11439,2024-03-09,Fuel,29.07,Card meeting reduce child.
146,7093,2023-06-16,Toll,354.4,Figure product situation country camera finally.
147,7093,2023-06-16,Other,311.63,Case region side better.
148,933,2024-07-17,Toll,98.9,By term ago toward threat.
149,933,2024-07-18,Fuel,219.24,Change central carry computer fear offer.
150,933,2024-07-16,Fine,356.37,Address TV organization nearly better various happy.
151,933,2024-07-14,Toll,212.72,Prevent or prevent believe.
152,7218,2024-11-04,Fine,340.05,Hit pressure name lot.
153,7218,2024-11-06,Fine,152.68,Term mission join.
154,7218,2024-11-06,Maintenance,392.43,Perhaps finish plan our.
155,3685,2024-08-19,Fuel,328.71,Some think TV agree.
156,3685,2024-08-15,Toll,82.16,Drop growth office between take.
157,8369,2024-06-19,Toll,470.16,In determine yourself.
158,8369,2024-06-18,Maintenance,252.6,How product have.
159,8369,2024-06-20,Fuel,42.71,National per management line.
160,8369,2024-06-17,Other,406.84,Ready great administration lead such until.
161,9479,2024-12-14,Fine,269.73,Hit especially wear.
162,9479,2024-12-16,Toll,188.22,Course spend experience.
163,9479,2024-12-14,Other,219.88,Leader of nor reality.
164,11725,2023-11-18,Maintenance,283.79,Public shake try building.
165,11725,2023-11-16,Fuel,95.67,Live major tax particularly edge.
166,7418,2023-08-13,Maintenance,42.29,Name develop occur partner benefit.
167,10505,2023-02-03,Other,180.06,Discussion mother let customer.
168,10516,2024-06-13,Other,228.53,Across city join though contain scientist.
169,10516,2024-06-09,Other,184.95,Feel administration white keep.
170,13510,2023-01-08,Maintenance,293.16,Two treatment particular worker it power.
171,13510,2023-01-11,Toll,334.3,Approach manager national ability through.
172,13510,2023-01-11,Other,344.56,Else thank former start know sure.
173,13510,2023-01-10,Fine,498.21,He series will which Mr daughter.
174,7173,2024-08-03,Fine,103.16,Like road seat.
175,7173,2024-08-03,Other,42.95,Commercial energy ready board third can.
176,7173,2024-08-04,Other,36.61,Chance seem if goal.
177,7173,2024-08-03,Fine,218.54,South whose special.
178,3329,2024-12-18,Fine,265.51,Rest role share.
179,3329,2024-12-20,Toll,141.91,Audience policy lawyer open ago.
180,3329,2024-12-19,Other,378.7,We ground wall gas black pick.
181,5024,2023-07-14,Toll,20.37,Single prove similar nice current certain.
182,5024,2023-07-13,Fuel,101.51,Whether cost task personal week there.
183,5024,2023-07-14,Maintenance,352.37,Paper yeah cultural.
184,2215,2023-06-15,Fuel,391.94,Per protect similar.
185,2215,2023-06-15,Fine,389.56,Information finally unit.
186,2215,2023-06-16,Toll,466.1,Fund avoid television brother poor.
187,2217,2024-03-01,Other,83.74,Laugh must hand Democrat employee such.
188,14796,2024-03-10,Other,348.75,Yeah entire sell.
189,2860,2023-03-19,Other,136.63,Play join future month human chance.
190,2860,2023-03-18,Toll,87.64,Even note through any understand.
191,2860,2023-03-19,Fuel,296.43,Budget return heavy relationship.
192,4025,2023-12-24,Fine,194.13,Speech baby suffer.
193,2761,2023-01-13,Other,380.92,Talk site reason relate situation kind.
