maintenance_id,vehicle_id,date,service_type,cost_eur,description
1,1,2024-02-22,Brake Service,1010.94,Cost west since letter play hospital place.
2,1,2023-05-05,Tire Replacement,1859.57,Like after organization and.
3,1,2023-06-03,Tire Replacement,653.54,Media off ready kind.
4,1,2023-06-03,Brake Service,1227.78,Security bar religious mind.
5,2,2023-02-19,Tire Replacement,1723.3,Always finish direction character must billion.
6,2,2024-07-12,Tire Replacement,1365.41,Against reason tell possible price maintain himself.
7,2,2023-08-15,Engine Repair,1530.34,Full land easy point piece dog.
8,2,2024-01-24,Oil Change,1750.81,Figure type require.
9,2,2023-03-20,Brake Service,374.79,Shoulder institution from environmental heavy level.
10,3,2023-09-30,Oil Change,538.15,Certainly break director white somebody step.
11,4,2023-04-06,Engine Repair,297.32,Total loss side group wind.
12,4,2024-06-23,Engine Repair,1604.44,Difficult order dog minute.
13,4,2024-09-12,Brake Service,190.82,Him find hard sure.
14,4,2024-04-15,Engine Repair,135.87,Another sort yet quickly bring drive evidence.
15,4,2024-02-24,Oil Change,1543.98,Away cup officer mind none.
16,5,2024-04-03,Oil Change,1738.73,Nice fine just finish attention strong inside.
17,5,2023-06-01,Tire Replacement,1772.56,Smile religious course voice campaign entire.
18,5,2024-05-03,Brake Service,886.37,Still your project recognize girl.
19,5,2024-01-23,Brake Service,285.29,Ago serve news.
20,5,2023-09-30,Brake Service,303.85,Child sign foot film.
21,6,2024-12-10,Tire Replacement,690.11,A available couple play speech both.
22,6,2024-06-23,Brake Service,1760.2,Wide police office risk hard bag eight.
23,6,2024-09-14,Brake Service,1344.3,Wide thus senior.
24,6,2024-02-10,Oil Change,1090.92,Some spring person western computer.
25,6,2024-05-03,Oil Change,513.49,I require both hope.
26,7,2024-09-19,Oil Change,1313.47,Lose hear project without would reduce statement yet.
27,7,2024-02-08,Brake Service,1042.28,Site machine record discover.
28,7,2023-12-08,Oil Change,751.59,Recent kitchen north everybody conference watch.
29,8,2023-05-13,Oil Change,568.12,Grow tax war site table agreement.
30,8,2024-02-26,Engine Repair,137.63,Toward road turn on.
31,8,2023-11-03,Tire Replacement,415.39,She personal offer leg energy everyone occur.
32,8,2024-08-10,Tire Replacement,1727.89,Understand popular early spring there wrong.
33,9,2023-08-08,Brake Service,425.26,Though word total social charge.
34,9,2023-08-14,Oil Change,469.26,Professional skill many likely get large evidence.
35,9,2024-11-02,Oil Change,1341.46,Hot financial security left.
36,10,2024-04-19,Engine Repair,289.52,School reveal expert alone speak.
37,10,2023-11-12,Brake Service,987.42,Bring water bring.
38,10,2024-11-22,Tire Replacement,461.67,Form about why series.
39,10,2024-08-24,Tire Replacement,1436.7,Feeling anything trial.
40,10,2023-04-16,Tire Replacement,349.77,Purpose movie turn instead picture small light.
41,11,2024-08-06,Engine Repair,1202.23,Without environment safe house home.
42,11,2023-04-10,Tire Replacement,1524.57,Actually federal near series check stage science rule.
43,11,2024-09-20,Tire Replacement,1779.25,Democratic page positive term whether production.
44,11,2023-06-10,Engine Repair,1211.45,Before treat strong college drug of.
