shipment_id,client_id,origin,destination,distance_km,weight_tons,price_eur,date_requested
1,456,Lake Laura,Sancheztown,303.8,22.08,459.58,2023-12-16
2,310,South Johnny,Owensmouth,312.2,14.28,307.9,2024-11-30
3,437,South David,East Stacieville,566.0,9.23,512.62,2023-10-16
4,434,Brianmouth,Eatonchester,696.8,12.72,1004.86,2023-08-18
5,23,Michaelhaven,Williamsfort,174.5,16.22,305.84,2023-03-02
6,135,Markport,North Victoria,58.7,19.51,108.34,2023-02-22
7,288,Brianhaven,Lake Adriana,445.9,11.6,514.12,2023-04-24
8,463,Powellmouth,Christyport,73.7,2.81,23.16,2023-01-19
9,283,Port Zacharyville,Blakechester,415.2,1.86,58.57,2023-10-13
10,461,Lake Kimberlyshire,East Sarahfurt,412.8,4.06,119.96,2024-08-16
11,184,Simonview,East Kathleen,2336.1,24.33,3000.59,2023-09-14
12,400,New Patrickfurt,North Bradley,564.7,6.99,225.77,2023-06-02
13,384,East Robert,South Lauren,1421.7,21.99,3694.33,2023-01-10
14,500,South Amy,Veronicaborough,428.7,23.32,1104.92,2024-11-16
15,92,East Micheleview,Buchananbury,2009.7,5.25,832.05,2023-01-01
16,411,Lake Trevor,Lake Stevemouth,1854.6,8.97,1915.73,2023-12-30
17,82,Melissaview,Crystalmouth,1691.3,18.64,2123.95,2024-04-24
18,440,Lake Evelyn,Lindabury,1979.1,3.59,789.02,2024-02-14
19,180,South Timothymouth,Victorfurt,1203.2,5.79,796.22,2023-06-25
20,13,Laurieview,Port Earlbury,797.7,20.09,1056.61,2023-02-09
21,36,East Steven,North Heidi,1667.1,10.56,1223.56,2024-10-17
22,205,Robertfurt,Knightport,2418.9,7.7,1767.63,2024-01-28
23,15,East Cindy,Port Leeton,1714.8,21.25,2666.66,2023-03-05
24,493,Briggsberg,Kennedytown,332.6,24.29,504.93,2023-12-05
25,177,Davidbury,Kochfort,2459.7,1.92,433.35,2023-09-17
26,262,Chapmanfurt,Atkinsonport,1834.9,8.53,1446.76,2024-12-21
27,23,West Erik,Brittneyland,333.3,22.59,476.64,2023-07-08
28,276,North Lauratown,New Roy,1786.5,1.04,213.28,2023-03-20
29,101,Port Lindseyberg,North Thomaston,1732.8,23.57,4149.26,2024-11-27
30,170,Tonyastad,Elizabethland,942.3,2.68,243.69,2023-04-14
31,461,West Mark,New Christopherton,1576.7,16.92,1566.62,2023-02-01
32,207,Port Sandraburgh,Hollowayfort,785.8,8.42,519.97,2024-04-22
33,341,Brittneyhaven,Port Cheyenneberg,1758.2,14.31,1595.86,2023-03-25
34,316,Obrienview,Lake Kimberly,2353.9,17.26,4598.98,2023-02-20
35,156,South Catherineport,South Melissaburgh,1444.3,10.75,1682.43,2024-02-04
36,336,Patrickstad,Kellyfurt,752.9,11.32,772.16,2024-06-23
37,262,Port Tracey,Elizabethborough,839.5,11.6,947.47,2023-11-21
38,87,Hernandezberg,North Brianville,1209.3,22.63,2893.23,2023-07-06
39,318,South Davidland,Kayleemouth,1664.2,7.81,1253.86,2023-04-25
40,345,Lake Timothy,Martinezside,871.2,20.64,1844.54,2024-03-25
41,24,Sharonborough,Douglasstad,810.5,20.36,995.3,2024-07-20
42,38,Leeland,North Maureenview,649.9,12.4,882.29,2023-05-02
43,368,Port Tyler,Bowersmouth,1165.8,22.27,2344.32,2023-10-30
44,336,Port Mark,Barrettshire,1756.1,12.87,1516.05,2023-12-16
45,454,North Misty,West Robert,1734.7,22.42,4287.09,2024-11-05
46,491,Eddieberg,New Cassandra,311.1,11.2,217.12,2024-01-14
47,470,Lake Henry,Port Albertstad,1755.0,12.15,1898.16,2023-08-04
48,342,Laurenstad,Aaronfort,2128.4,11.96,2700.82,2024-07-06
49,387,East Dylan,Alyssahaven,1351.3,14.41,1406.11,2024-08-22
50,259,South Kayla,South Tamarashire,2234.0,15.7,3519.63,2024-04-03
51,82,Ambermouth,West Marvinchester,1095.5,22.76,2024.95,2024-02-29
52,127,South Mariachester,Sloanshire,1872.0,12.39,1580.52,2024-04-02
53,249,Marybury,Bakerton,2107.7,7.66,1686.14,2023-06-29
54,147,Lake Rebecca,Ralphtown,1585.5,7.59,666.97,2024-09-26
55,42,North Jeffrey,Allentown,624.5,9.06,636.59,2024-02-17
56,362,North Leahview,Smithport,389.0,6.55,251.17,2023-11-30
57,239,South Vanessaborough,Kimberlybury,574.2,10.96,460.42,2024-08-20
58,464,Castromouth,New Diana,1068.6,5.96,505.75,2024-12-19
59,451,Millerbury,Smithberg,1936.0,23.71,2357.89,2023-01-12
60,181,Garyport,Robertchester,1925.7,10.13,983.42,2024-12-24
61,428,West Connor,Kyleside,781.6,10.36,910.27,2023-06-08
62,309,North Tonyaville,East Cameronview,1076.6,18.94,1799.07,2024-06-21
63,249,Port Shannonville,Dixonfort,2249.6,12.72,1977.45,2023-05-20
64,208,Kristenstad,West Gregoryborough,121.1,9.07,107.14,2024-06-02
65,319,Jessicaland,East Dustinburgh,1824.2,21.17,4416.7,2024-02-28
66,340,South Vickie,Anthonyfurt,1358.6,22.77,2828.49,2024-02-10
67,237,Garciahaven,Lewisborough,116.4,16.43,113.79,2024-09-07
68,233,Ayalaland,Port Diane,495.2,7.24,261.42,2024-04-27
69,386,Grantmouth,Morrisstad,850.8,19.27,1254.85,2024-12-10
70,241,North Shawntown,Andrestad,2380.5,11.12,2870.63,2023-06-04
71,180,Roberttown,Michelleland,97.5,13.95,163.21,2024-05-18
72,21,New Abigailville,South Troy,599.3,2.65,185.83,2023-04-15
