vehicle_id,plate_number,model,year,capacity_tons,fuel_type,status
1,PA-771-D,DAF XF,2021,27.7,LPG,available
2,LZ-371-J,Scania R500,2018,24.9,LPG,maintenance
3,HB-698-H,DAF XF,2024,18.0,Diesel,available
4,SC-621-C,DAF XF,2016,25.1,Diesel,available
5,XP-742-C,Scania R500,2021,21.9,LPG,in_service
6,YR-710-Y,DAF XF,2023,15.0,Diesel,maintenance
7,EE-838-V,Volvo FH16,2023,25.0,LPG,available
8,PR-400-F,DAF XF,2017,19.1,LPG,maintenance
9,IQ-880-T,Scania R500,2023,28.3,LPG,maintenance
10,NG-619-R,MAN TGX,2018,13.1,Diesel,maintenance
11,YX-897-W,MAN TGX,2015,22.0,LPG,available
12,GW-214-J,Mercedes Actros,2019,14.8,Diesel,maintenance
13,MV-180-U,Volvo FH16,2022,26.3,Diesel,available
14,LO-775-Q,DAF XF,2023,13.3,LPG,available
15,OD-652-H,Iveco S-Way,2018,24.3,LPG,maintenance
16,HC-765-K,Mercedes Actros,2022,28.0,LPG,available
17,AS-353-R,Scania R500,2016,16.8,Diesel,maintenance
18,HS-325-H,Volvo FH16,2016,24.2,Diesel,available
19,AC-169-W,Volvo FH16,2020,11.4,Diesel,in_service
20,UB-785-H,DAF XF,2018,20.8,LPG,available
21,CB-903-K,DAF XF,2021,13.8,Diesel,maintenance
22,CQ-541-H,Mercedes Actros,2021,18.2,Diesel,maintenance
23,IV-769-P,Iveco S-Way,2016,11.2,LPG,available
24,GR-354-E,Scania R500,2018,20.7,Diesel,in_service
25,XS-287-S,Mercedes Actros,2022,15.0,Diesel,in_service
26,PH-927-Z,MAN TGX,2016,11.0,Diesel,available
27,PZ-871-N,Scania R500,2017,18.1,LPG,available
28,GD-985-D,DAF XF,2015,13.3,Diesel,in_service
29,VN-371-L,DAF XF,2019,18.5,LPG,available
30,NN-294-O,Mercedes Actros,2018,29.4,Diesel,maintenance
31,XB-421-V,Volvo FH16,2015,21.7,Diesel,available
32,UU-620-D,Volvo FH16,2017,11.4,Diesel,maintenance
33,BM-982-X,Scania R500,2021,12.4,Diesel,maintenance
34,KZ-708-D,Volvo FH16,2024,11.6,LPG,in_service
35,HG-309-G,Iveco S-Way,2020,14.8,LPG,available
36,RO-787-E,Iveco S-Way,2019,19.1,Diesel,available
37,NF-569-I,MAN TGX,2024,29.9,Diesel,maintenance
38,OH-318-C,MAN TGX,2019,12.6,LPG,available
39,OZ-350-R,Mercedes Actros,2019,13.2,LPG,maintenance
40,DB-926-U,Iveco S-Way,2023,10.2,LPG,maintenance
